SampleID,Compound,Replicate,Concentration,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
DMSO_H24,DMSO,2,0.0,0.011254019292604502,0.36977491961414793,0.08681672025723473,0.3360128617363344,0.13665594855305466,0.0594855305466238
DMSO_I12,DMSO,2,0.0,0.006211180124223602,0.30434782608695654,0.059006211180124224,0.36335403726708076,0.18012422360248448,0.08695652173913043
DMSO_J04,DMSO,2,0.0,0.21453900709219859,0.25354609929078015,0.17907801418439717,0.20567375886524822,0.06028368794326241,0.08687943262411348
DMSO_J12,DMSO,2,0.0,0.05719921104536489,0.30177514792899407,0.08284023668639054,0.35700197238658776,0.10059171597633136,0.10059171597633136
DMSO_J20,DMSO,2,0.0,0.005376344086021506,0.33410138248847926,0.07757296466973887,0.347926267281106,0.15360983102918588,0.08141321044546851
DMSO_K04,DMSO,2,0.0,0.03244274809160305,0.3053435114503817,0.08778625954198473,0.34541984732824427,0.11641221374045801,0.11259541984732824
DMSO_K20,DMSO,2,0.0,0.36,0.2009090909090909,0.08818181818181818,0.21181818181818182,0.06272727272727273,0.07636363636363637
DMSO_L04,DMSO,2,0.0,0.016245487364620937,0.31227436823104693,0.04332129963898917,0.4223826714801444,0.14259927797833935,0.0631768953068592
DMSO_L20,DMSO,2,0.0,0.25015873015873014,0.2273015873015873,0.12698412698412698,0.2450793650793651,0.05904761904761905,0.09142857142857143
DMSO_M04,DMSO,2,0.0,0.06570955273329653,0.3335173937051353,0.07288790723357261,0.3191606847045831,0.12921038100496962,0.07951408061844285
DMSO_M12,DMSO,2,0.0,0.04770017035775128,0.29982964224872233,0.08347529812606473,0.30664395229982966,0.15843270868824533,0.10391822827938671
DMSO_N04,DMSO,2,0.0,0.23481781376518218,0.2639676113360324,0.12307692307692308,0.24129554655870444,0.0680161943319838,0.06882591093117409
DMSO_N12,DMSO,2,0.0,0.261968085106383,0.2632978723404255,0.08377659574468085,0.21675531914893617,0.1196808510638298,0.05452127659574468
DMSO_N20,DMSO,2,0.0,0.0,0.39398998330550916,0.06343906510851419,0.335559265442404,0.10851419031719532,0.09849749582637729
DMSO_O04,DMSO,2,0.0,0.425414364640884,0.1841620626151013,0.058931860036832415,0.2007366482504604,0.06629834254143646,0.06445672191528545
DMSO_O20,DMSO,2,0.0,0.009836065573770493,0.31311475409836065,0.03770491803278689,0.4098360655737705,0.14754098360655737,0.08196721311475409
Celecoxib_Rep1_Conc0.046,Celecoxib,1,0.046,0.03208556149732621,0.37433155080213903,0.1497326203208556,0.24197860962566844,0.1443850267379679,0.05748663101604278
Celecoxib_Rep1_Conc0.137,Celecoxib,1,0.137,0.11287988422575977,0.22141823444283648,0.10130246020260492,0.32850940665701883,0.1389290882778582,0.09696092619392185
Celecoxib_Rep1_Conc0.411,Celecoxib,1,0.411,0.015555555555555555,0.34,0.09333333333333334,0.34444444444444444,0.13111111111111112,0.07555555555555556
Celecoxib_Rep1_Conc1.000,Celecoxib,1,1.0,0.09899569583931134,0.24390243902439024,0.08464849354375897,0.31850789096126253,0.1492109038737446,0.10473457675753228
Celecoxib_Rep1_Conc100.000,Celecoxib,1,100.0,0.07413249211356467,0.2886435331230284,0.15457413249211358,0.25709779179810727,0.12618296529968454,0.09936908517350158
Celecoxib_Rep1_Conc11.000,Celecoxib,1,11.0,0.12357414448669202,0.2908745247148289,0.13498098859315588,0.13878326996197718,0.03612167300380228,0.27566539923954375
Celecoxib_Rep1_Conc3.500,Celecoxib,1,3.5,0.04654255319148936,0.363031914893617,0.06648936170212766,0.29388297872340424,0.1502659574468085,0.0797872340425532
Celecoxib_Rep1_Conc33.500,Celecoxib,1,33.5,0.012759170653907496,0.405103668261563,0.0733652312599681,0.3189792663476874,0.12280701754385964,0.06698564593301436
DMSO_H05,Celecoxib,1,0.0,0.02483660130718954,0.3764705882352941,0.06928104575163399,0.3281045751633987,0.13333333333333333,0.06797385620915032
DMSO_H09,Celecoxib,1,0.0,0.056878306878306875,0.3425925925925926,0.10317460317460317,0.28174603174603174,0.13756613756613756,0.07804232804232804
DMSO_J20,Celecoxib,1,0.0,0.002861230329041488,0.35050071530758226,0.07439198855507868,0.3133047210300429,0.1688125894134478,0.09012875536480687
DMSO_K04,Celecoxib,1,0.0,0.016107382550335572,0.3046979865771812,0.07516778523489932,0.33691275167785234,0.1959731543624161,0.07114093959731543
